YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,station_id,latitude,longitude
2012,10,20,0,20,221,2.0,2.6,1.26,8.33,5.75,999,1011.0,26.9,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,0,50,188,2.6,3.8,1.15,7.69,5.36,999,1010.9,26.9,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,1,20,205,1.5,2.2,1.12,10.81,5.6,999,1011.2,26.9,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,1,50,241,2.3,3.0,1.12,10.81,5.71,999,1011.6,26.9,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,2,20,251,2.8,3.7,1.22,10.81,5.9,999,1011.6,26.9,28.0,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,2,50,248,4.1,4.9,1.1,10.81,5.88,999,1011.9,27.0,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,3,20,222,3.4,4.7,1.11,8.33,5.72,999,1011.4,27.0,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,3,50,211,4.7,5.8,1.01,10.0,5.57,999,1011.4,27.1,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,4,20,237,4.5,5.8,1.01,8.33,5.4,999,1011.2,27.1,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,4,50,225,5.4,99.0,99.0,99.0,99.0,999,9999.0,27.1,999.0,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,5,20,226,5.6,99.0,99.0,99.0,99.0,999,9999.0,27.1,999.0,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,5,50,230,5.5,6.6,99.0,99.0,99.0,999,1010.9,27.1,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,6,20,213,99.0,99.0,99.0,99.0,99.0,999,9999.0,999.0,999.0,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,7,50,229,6.5,7.9,0.97,10.0,4.85,999,1009.7,27.2,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,8,20,216,6.0,7.3,99.0,99.0,99.0,999,1009.6,27.3,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,8,50,225,6.7,99.0,99.0,99.0,99.0,999,9999.0,999.0,999.0,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,9,20,228,6.7,7.9,1.02,10.81,4.81,999,1009.9,27.3,999.0,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,9,50,240,6.9,7.9,99.0,99.0,99.0,999,1010.1,27.3,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,10,20,251,6.2,7.7,1.01,9.09,4.36,999,1010.4,27.3,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,10,50,271,8.1,10.0,0.94,10.81,4.23,999,1010.6,27.4,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,11,20,282,8.6,10.7,0.99,10.0,4.07,999,1010.7,27.5,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,11,50,309,9.4,99.0,99.0,99.0,99.0,999,9999.0,27.0,999.0,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,12,50,318,8.9,10.5,99.0,99.0,99.0,999,1011.5,26.8,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,13,20,321,8.3,9.6,1.27,4.17,4.27,999,1012.0,26.7,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,13,50,321,8.1,9.6,1.27,4.17,4.11,999,1012.3,26.7,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,14,20,332,8.6,10.5,1.23,4.35,4.08,999,1012.5,26.5,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,14,50,338,8.0,10.4,1.38,4.35,4.19,999,1012.6,26.5,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,15,20,343,7.4,8.9,1.34,4.55,4.27,999,1012.8,26.5,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,15,50,356,6.9,8.6,1.4,4.35,4.3,999,1012.7,26.4,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,16,20,352,6.7,8.2,1.36,4.76,4.27,999,1012.5,26.4,27.9,999.0,99.0,99.0,41010,28.878,-78.467
